"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Beoordeling";"Kwaliteitsniveau";"Belang";"BeoordelingID";"Combinatie";"VoorwaardeID";"Voorwaarde";"Referentiewaarde";"Operator";"Maximumwaarde";"AnalyseVariabele";"Eenheid";"TypeVariabele";"Invoertype";"Invoerwaarde";"TaxongroepId";"TaxongroepNaam";"Studiegroepnaam";"Studielijstnaam";"Studiewaarde";"SubAnalyseVariabele";"SubEenheid";"TypeSubVariabele";"SubReferentiewaarde";"SubOperator";"SubInvoertype";"SubInvoerwaarde"
"Versie 2.0";"2310";"2310";"Structuur";"dwergstruiken";"A: >= codominant";"2";"b";"189";"792";"792";"bedekking dwergstruiken";"cd";">=";"1,00";"bedekking";NA;"Categorie";"TANSLEY IHD";"A, CD, D, F, LA, LCD, LD, LF, LO, LR, LS, O, R, RA, RCD, RD, RF, RO, RR, RS, S, lf";"97";"dwergstruiken";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2310";"2310";"Structuur";"dwergstruiken";"B: >= codominant";"1";"b";"190";"794";"794";"bedekking dwergstruiken";"cd";">=";"1,00";"bedekking";NA;"Categorie";"TANSLEY IHD";"A, CD, D, F, LA, LCD, LD, LF, LO, LR, LS, O, R, RA, RCD, RD, RF, RO, RR, RS, S, lf";"97";"dwergstruiken";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2310";"2310";"Structuur";"dwergstruiken";">= halfbedekkend";"1";"b";"1054";"795";"795";"bedekking dwergstruiken";"HB";">=";"1,00";"bedekking";NA;"Categorie";"BEHEERMONITORINGSSCHAAL2017";"B, B2, B4, B8, BR, D, D2, D4, D8, HB, HB2, HB4, HB8, HBR, KB, KB2, KB4, KB8, KBR, S, S2, S4, S8, SR, T, T2, T4, T8, TR, WT, WT2, WT4, WT8, WTR, ZS, ZS2, ZS4, ZS8, ZSR";"97";"dwergstruiken";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2310";"2310";"Structuur";"ouderdomsstructuur Struikheide";"minstens 2 stadia minimaal talrijk aanwezig en één van deze stadia is het climax of degeneratiestadium";"1";"b";"1058";"313 AND 2137";"313";"aantal ouderdomsstadia";"2";">=";"4,00";"aantal";NA;"Geheel getal";NA;"NA";NA;NA;"20pioniersstadium&40ontwikkelingsstadium&50climaxstadium&100degeneratiestadium";"ouderdomsstadia";"pioniersstadium, ontwikkelingsstadium, climaxstadium, degeneratiestadium";"bedekking";NA;"Categorie";"T";">=";"BEHEERMONITORINGSSCHAAL2017";"B, B2, B4, B8, BR, D, D2, D4, D8, HB, HB2, HB4, HB8, HBR, KB, KB2, KB4, KB8, KBR, S, S2, S4, S8, SR, T, T2, T4, T8, TR, WT, WT2, WT4, WT8, WTR, ZS, ZS2, ZS4, ZS8, ZSR"
"Versie 3";"2310";"2310";"Structuur";"ouderdomsstructuur Struikheide";"minstens 2 stadia minimaal talrijk aanwezig en één van deze stadia is het climax of degeneratiestadium";"1";"b";"1058";"313 AND 2137";"2137";"climax- of degeneratiestadium aanwezig";"1";">=";"2,00";"aantal";NA;"Geheel getal";NA;"NA";NA;NA;"50climaxstadium&100degeneratiestadium";"ouderdomsstadia";"climaxstadium, degeneratiestadium";"bedekking";NA;"Categorie";"T";">=";"BEHEERMONITORINGSSCHAAL2017";"B, B2, B4, B8, BR, D, D2, D4, D8, HB, HB2, HB4, HB8, HBR, KB, KB2, KB4, KB8, KBR, S, S2, S4, S8, SR, T, T2, T4, T8, TR, WT, WT2, WT4, WT8, WTR, ZS, ZS2, ZS4, ZS8, ZSR"
"Versie 3";"2310";"2310";"Verstoring";"invasieve exoten";"<= 10 %";"1";"zb";"1050";"995";"995";"bedekking invasieve exoten";"10";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"488";"invasief mos";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2310";"2310";"Verstoring";"verbossing";"<= 10%";"1";"b";"1051";"1601";"1601";"bedekking verbossing";"10";"<=";"1,00";"bedekkingLaagExcl";"%";"Percentage";NA;"NA";"876";NA;"boom- en struiklaag";"vegetatielaag";"boom- en struiklaag, boomlaag, struiklaag";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2310";"2310";"Structuur";"horizontale structuur";">= 10% open vegetaties en kaal zand";"1";"zb";"1103";"1179";"1179";"bedekking open vegetaties en kaal zand";"10";">=";"1,00";"meting_perc";"%";"Percentage";NA;"NA";NA;NA;"50buntgrasvegetatie&100dwerghavervegetatie&150mosvegetatie&200korstmosvegetatie&250open zand";"50buntgrasvegetatie&100dwerghavervegetatie&150mosvegetatie&200korstmosvegetatie&250open zand";"buntgrasvegetatie, dwerghavervegetatie, mosvegetatie, korstmosvegetatie, open zand";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2310";"2310";"Verstoring";"vergrassing";"<= 50%";"1";"zb";"1106";"1721";"1721";"bedekking vergrassing";"50";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"514";"vergrassing";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2310";"2310";"Verstoring";"verruiging";"<= 10%";"1";"zb";"1107";"1796";"1796";"bedekking verruiging";"10";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"562";"verruiging";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2310";"2310";"Vegetatie";"sleutelsoorten";"A: Struikhei + > 2 minstens occasioneel aanwezig";"2";"b";"181";"724 AND 352";"724";"aanwezigheid struikheide";"1";">=";"1,00";"aantal";NA;"Geheel getal";NA;"NA";"490";"aanwezigheidstruikhei";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2310";"2310";"Vegetatie";"sleutelsoorten";"A: Struikhei + > 2 minstens occasioneel aanwezig";"2";"b";"181";"724 AND 352";"352";"aantal sleutelsoorten";"2";">";"6,00";"aantal";NA;"Geheel getal";NA;"NA";"428";"sleutelsoorten";NA;NA;"NA";"bedekking";NA;"Categorie";"o";"<=";"TANSLEY IHD";"A, CD, D, F, LA, LCD, LD, LF, LO, LR, LS, O, R, RA, RCD, RD, RF, RO, RR, RS, S, lf"
"Versie 2.0";"2310";"2310";"Vegetatie";"sleutelsoorten";"B: Struikhei + 1-2 minstens occasioneel aanwezig";"1";"b";"182";"722 AND 342";"722";"aanwezigheid struikheide";"1";">=";"1,00";"aantal";NA;"Geheel getal";NA;"NA";"490";"aanwezigheidstruikhei";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2310";"2310";"Vegetatie";"sleutelsoorten";"B: Struikhei + 1-2 minstens occasioneel aanwezig";"1";"b";"182";"722 AND 342";"342";"aantal sleutelsoorten";"1";">=";"3,00";"aantal";NA;"Geheel getal";NA;"NA";"428";"sleutelsoorten";NA;NA;"NA";"bedekking";NA;"Categorie";"o";"<=";"TANSLEY IHD";"A, CD, D, F, LA, LCD, LD, LF, LO, LR, LS, O, R, RA, RCD, RD, RF, RO, RR, RS, S, lf"
"Versie 3";"2310";"2310";"Vegetatie";"sleutelsoorten";"Struikhei + minstens 2 andere sleutelsoorten aanwezig";"1";"b";"1055";"727 AND 348";"727";"aanwezigheid struikheide";"1";">=";"1,00";"aantal";NA;"Geheel getal";NA;"NA";"490";"aanwezigheidstruikhei";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2310";"2310";"Vegetatie";"sleutelsoorten";"Struikhei + minstens 2 andere sleutelsoorten aanwezig";"1";"b";"1055";"727 AND 348";"348";"aantal sleutelsoorten";"2";">=";"6,00";"aantal";NA;"Geheel getal";NA;"NA";"340";"sleutelsoorten";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Structuur";"korstmosvegetaties";"B: 1-10%";"1";"b";"199";"1089";"1089";"bedekking korstmosvegetaties";"1";">=";"1,00";"meting_perc";"%";"Percentage";NA;"NA";"246";"Lijst van korstmossen";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Structuur";"korstmosvegetaties";"A: >10%";"2";"b";"200";"1088";"1088";"bedekking korstmosvegetaties";"10";">";"1,00";"meting_perc";"%";"Percentage";NA;"NA";"246";"Lijst van korstmossen";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Structuur";"horizontale structuur";"B: 2-3 stadia aanwezig";"1";"zb";"203";"306";"306";"aantal ontwikkelingsstadia";"2";">=";"4,00";"aantal";NA;"Geheel getal";NA;"NA";NA;NA;"50open zand&100buntgrasvegetatie&150mostapijtjes&200korstmosvegetatie";"50open zand&100buntgrasvegetatie&150mostapijtjes&200korstmosvegetatie";"open zand, buntgrasvegetatie, mostapijtjes, korstmosvegetatie";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Structuur";"horizontale structuur";"A: 4 stadia aanwezig";"2";"zb";"204";"307";"307";"aantal ontwikkelingsstadia";"4";">=";"4,00";"aantal";NA;"Geheel getal";NA;"NA";NA;NA;"50open zand&100buntgrasvegetatie&150mostapijtjes&200korstmosvegetatie";"50open zand&100buntgrasvegetatie&150mostapijtjes&200korstmosvegetatie";"open zand, buntgrasvegetatie, mostapijtjes, korstmosvegetatie";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Verstoring";"invasieve exoten";"A: = 0 %";"2";"zb";"201";"996";"996";"bedekking invasieve exoten";"0";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"488";"invasief mos";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Verstoring";"invasieve exoten";"B: < 10 %";"1";"zb";"202";"998";"998";"bedekking invasieve exoten";"10";"<";"1,00";"bedekking";"%";"Percentage";NA;"NA";"488";"invasief mos";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Structuur";"naakte bodem";"A: > 40%";"2";"zb";"205";"1164";"1164";"bedekking naakte bodem";"40";">";"1,00";"bedekking";"%";"Percentage";NA;"NA";NA;NA;"50open zand";"50open zand";"open zand";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Structuur";"naakte bodem";"B: 10-40%";"1";"zb";"206";"1163";"1163";"bedekking naakte bodem";"10";">=";"1,00";"bedekking";"%";"Percentage";NA;"NA";NA;NA;"50open zand";"50open zand";"open zand";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Verstoring";"verbossing";"B: >= 5 - < 10%";"1";"b";"207";"1599";"1599";"bedekking verbossing";"10";"<";"1,00";"bedekkingLaagExcl";"%";"Percentage";NA;"NA";"878";NA;"boom- en struiklaag";"vegetatielaag";"boom- en struiklaag, boomlaag, struiklaag";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Verstoring";"verbossing";"A: < 5%";"2";"b";"208";"1600";"1600";"bedekking verbossing";"5";"<";"1,00";"bedekkingLaagExcl";"%";"Percentage";NA;"NA";"879";NA;"boom- en struiklaag";"vegetatielaag";"boom- en struiklaag, boomlaag, struiklaag";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Verstoring";"vergrassing";"A: < 10%";"2";"zb";"197";"1720";"1720";"bedekking vergrassing";"10";"<";"1,00";"bedekking";"%";"Percentage";NA;"NA";"515";"vergrassing";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Verstoring";"vergrassing";"B: 10-30%";"1";"zb";"198";"1719";"1719";"bedekking vergrassing";"30";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"515";"vergrassing";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2330";"2330_bu";"Verstoring";"invasieve exoten";"<= 10 %";"1";"zb";"1111";"1026";"1026";"bedekking invasieve exoten";"10";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"488";"invasief mos";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2330";"2330_bu";"Structuur";"horizontale structuur";">= 10% open vegetaties";"1";"zb";"1115";"1178";"1178";"bedekking open vegetaties";"10";">=";"1,00";"meting_perc";"%";"Percentage";NA;"NA";NA;NA;"50buntgrasvegetatie&100dwerghavervegetatie&150mosvegetatie&200korstmosvegetatie";"50buntgrasvegetatie&100dwerghavervegetatie&150mosvegetatie&200korstmosvegetatie";"buntgrasvegetatie, dwerghavervegetatie, mosvegetatie, korstmosvegetatie";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2330";"2330_bu";"Verstoring";"vergrassing";"<= 30%";"1";"zb";"1118";"1717";"1717";"bedekking vergrassing";"30";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"514";"vergrassing";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2330";"2330_bu";"Structuur";"naakte bodem";">= 10%";"1";"zb";"1110";"1162";"1162";"bedekking naakte bodem";"10";">=";"1,00";"bedekking";"%";"Percentage";NA;"NA";NA;NA;"50open zand";"50open zand";"open zand";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2330";"2330_bu";"Verstoring";"verbossing";"<= 10%";"1";"b";"1119";"1613";"1613";"bedekking verbossing";"10";"<=";"1,00";"bedekkingLaagExcl";"%";"Percentage";NA;"NA";"881";NA;"boom- en struiklaag";"vegetatielaag";"boom- en struiklaag, boomlaag, struiklaag";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_bu";"Vegetatie";"sleutelsoorten";"B: <= 3 minstens lokaal frequent aanwezig";"1";"b";"195";"344";"344";"aantal sleutelsoorten";"1";">=";"3,00";"aantal";NA;"Geheel getal";NA;"NA";"430";"sleutelsoorten";NA;NA;"NA";"bedekking";NA;"Categorie";"lf";">=";"TANSLEY IHD";"A, CD, D, F, LA, LCD, LD, LF, LO, LR, LS, O, R, RA, RCD, RD, RF, RO, RR, RS, S, lf"
"Versie 2.0";"2330";"2330_bu";"Vegetatie";"sleutelsoorten";"A: > 3 minstens lokaal frequent aanwezig";"2";"b";"196";"346";"346";"aantal sleutelsoorten";"3";">";"9,00";"aantal";NA;"Geheel getal";NA;"NA";"430";"sleutelsoorten";NA;NA;"NA";"bedekking";NA;"Categorie";"lf";">=";"TANSLEY IHD";"A, CD, D, F, LA, LCD, LD, LF, LO, LR, LS, O, R, RA, RCD, RD, RF, RO, RR, RS, S, lf"
"Versie 3";"2330";"2330_bu";"Vegetatie";"sleutelsoorten";"minstens 2 sleutelsoorten minimaal talrijk aanwezig";"1";"b";"1114";"604";"604";"aantal sleutelsoorten talrijk";"2";">=";"6,00";"aantal";NA;"Geheel getal";NA;"NA";"341";"sleutelsoorten";NA;NA;"NA";"bedekking";NA;"Categorie";"T";">=";"BEHEERMONITORINGSSCHAAL2017";"B, B2, B4, B8, BR, D, D2, D4, D8, HB, HB2, HB4, HB8, HBR, KB, KB2, KB4, KB8, KBR, S, S2, S4, S8, SR, T, T2, T4, T8, TR, WT, WT2, WT4, WT8, WTR, ZS, ZS2, ZS4, ZS8, ZSR"
"Versie 2.0";"2330";"2330_dw";"Verstoring";"verbossing";"A: < 5%";"2";"b";"209";"1596";"1596";"bedekking verbossing";"5";"<";"1,00";"bedekkingLaagExcl";"%";"Percentage";NA;"NA";"882";NA;"boom- en struiklaag";"vegetatielaag";"boom- en struiklaag, boomlaag, struiklaag";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_dw";"Verstoring";"verbossing";"B: >=  5 - < 10%";"1";"b";"210";"1612";"1612";"bedekking verbossing";"10";"<";"1,00";"bedekkingLaagExcl";"%";"Percentage";NA;"NA";"883";NA;"boom- en struiklaag";"vegetatielaag";"boom- en struiklaag, boomlaag, struiklaag";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_dw";"Structuur";"éénjarigen";"A: >= codominant";"2";"zb";"213";"800";"800";"bedekking éénjarigen";"cd";">=";"1,00";"bedekking";NA;"Categorie";"TANSLEY IHD";"A, CD, D, F, LA, LCD, LD, LF, LO, LR, LS, O, R, RA, RCD, RD, RF, RO, RR, RS, S, lf";"17";"Ã©Ã©njarigen";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_dw";"Structuur";"éénjarigen";"B: >= codominant";"1";"zb";"214";"801";"801";"bedekking éénjarigen";"cd";">=";"1,00";"bedekking";NA;"Categorie";"TANSLEY IHD";"A, CD, D, F, LA, LCD, LD, LF, LO, LR, LS, O, R, RA, RCD, RD, RF, RO, RR, RS, S, lf";"17";"Ã©Ã©njarigen";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_dw";"Verstoring";"invasieve exoten";"B: < 10 %";"1";"zb";"215";"1031";"1031";"bedekking invasieve exoten";"10";"<";"1,00";"bedekking";"%";"Percentage";NA;"NA";"488";"invasief mos";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_dw";"Verstoring";"invasieve exoten";"A: = 0 %";"2";"zb";"216";"1015";"1015";"bedekking invasieve exoten";"0";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"488";"invasief mos";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2330";"2330_dw";"Verstoring";"invasieve exoten";"<= 10 %";"1";"zb";"1126";"1037";"1037";"bedekking invasieve exoten";"10";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"488";"invasief mos";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2330";"2330_dw";"Structuur";"éénjarigen";"aandeel éénjarigen en kaal zand > aandeel meerjarige kruiden";"1";"zb";"1127";"69 > 74";"69";"aandeel éénjarigen + open zand";"aandeel meerjarigen";">";"1,00";"bedekkingSom";"%";"Percentage";NA;"NA";"17";"Ã©Ã©njarigen";"50open zand";"50open zand";"open zand";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2330";"2330_dw";"Structuur";"éénjarigen";"aandeel éénjarigen en kaal zand > aandeel meerjarige kruiden";"1";"zb";"1127";"69 > 74";"74";"aandeel meerjarigen";"aandeel éénjarigen + open zand";"<";"1,00";"bedekkingExcl";"%";"Percentage";NA;"NA";"17";"Ã©Ã©njarigen";"kruidlaag";"vegetatielaag";"kruidlaag";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"2330";"2330_dw";"Verstoring";"verbossing";"<= 10%";"1";"b";"1122";"1593";"1593";"bedekking verbossing";"10";"<=";"1,00";"bedekkingLaagExcl";"%";"Percentage";NA;"NA";"884";NA;"boom- en struiklaag";"vegetatielaag";"boom- en struiklaag, boomlaag, struiklaag";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"2330";"2330_dw";"Vegetatie";"sleutelsoorten";"B: <= 3 minstens frequent aanwezig";"1";"b";"211";"473";"473";"aantal sleutelsoorten frequent";"1";">=";"3,00";"aantal";NA;"Geheel getal";NA;"NA";"431";"sleutelsoorten";NA;NA;"NA";"bedekking";NA;"Categorie";"f";">=";"TANSLEY IHD";"A, CD, D, F, LA, LCD, LD, LF, LO, LR, LS, O, R, RA, RCD, RD, RF, RO, RR, RS, S, lf"
"Versie 2.0";"2330";"2330_dw";"Vegetatie";"sleutelsoorten";"A: > 3 minstens frequent aanwezig";"2";"b";"212";"479";"479";"aantal sleutelsoorten frequent";"3";">";"6,00";"aantal";NA;"Geheel getal";NA;"NA";"431";"sleutelsoorten";NA;NA;"NA";"bedekking";NA;"Categorie";"f";">=";"TANSLEY IHD";"A, CD, D, F, LA, LCD, LD, LF, LO, LR, LS, O, R, RA, RCD, RD, RF, RO, RR, RS, S, lf"
"Versie 3";"2330";"2330_dw";"Vegetatie";"sleutelsoorten";"minstens 2 sleutelsoorten minstens talrijk aanwezig";"1";"b";"1123";"607";"607";"aantal sleutelsoorten talrijk";"2";">=";"6,00";"aantal";NA;"Geheel getal";NA;"NA";"342";"sleutelsoorten";NA;NA;"NA";"bedekking";NA;"Categorie";"T";">=";"BEHEERMONITORINGSSCHAAL2017";"B, B2, B4, B8, BR, D, D2, D4, D8, HB, HB2, HB4, HB8, HBR, KB, KB2, KB4, KB8, KBR, S, S2, S4, S8, SR, T, T2, T4, T8, TR, WT, WT2, WT4, WT8, WTR, ZS, ZS2, ZS4, ZS8, ZSR"
"Versie 2.0";"3110";"3110";"Structuur";"doorzicht";"A: voor ondiepe plassen (1): Secchi-diepte >= 1,5 m;voor diepe plassen (2): Secchi-diepte >= 3,2 m";"2";"b";"225";"2620 OR 2614";"2620";"voor ondiepe plassen: Secchi-diepte in m";"1.5";">=";"4,50";"meting_diepte";"m";"Decimaal getal";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Structuur";"doorzicht";"A: voor ondiepe plassen (1): Secchi-diepte >= 1,5 m;voor diepe plassen (2): Secchi-diepte >= 3,2 m";"2";"b";"225";"2620 OR 2614";"2614";"voor diepe plassen: Secchi-diepte in m";"3.2";">=";"9,60";"meting_diepte";"m";"Decimaal getal";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Structuur";"doorzicht";"B: voor ondiepe plassen (1): Secchi-diepte >= 1,5 m;voor diepe plassen (2): Secchi-diepte >= 3,2 m";"1";"b";"226";"2617 OR 2613";"2617";"voor ondiepe plassen: Secchi-diepte in m";"1.5";">=";"4,50";"meting_diepte";"m";"Decimaal getal";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Structuur";"doorzicht";"B: voor ondiepe plassen (1): Secchi-diepte >= 1,5 m;voor diepe plassen (2): Secchi-diepte >= 3,2 m";"1";"b";"226";"2617 OR 2613";"2613";"voor diepe plassen: Secchi-diepte in m";"3.2";">=";"9,60";"meting_diepte";"m";"Decimaal getal";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Structuur";"horizontale structuur";"B: vegetatievlek 1 - 10 m²";"1";"zb";"231";"2314";"2314";"grootste vegetatievlek in m²";"1";">=";"3,00";"meting_opp_m2";"m²";"Decimaal getal";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Structuur";"horizontale structuur";"A: vegetatievlek >= 10 m²";"2";"zb";"232";"2313";"2313";"grootste vegetatievlek in m²";"10";">=";"30,00";"meting_opp_m2";"m²";"Decimaal getal";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Verstoring";"eutrofiëring";"B: 5 - <10 %";"1";"zb";"1283";"811";"811";"bedekking eutrofiëring";"10";"<";"1,00";"bedekking";"%";"Percentage";NA;"NA";"141";"eutrofiÃ«ring";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Verstoring";"eutrofiëring";"A: < 5 %";"2";"zb";"1284";"813";"813";"bedekking eutrofiëring";"5";"<";"1,00";"bedekking";"%";"Percentage";NA;"NA";"141";"eutrofiÃ«ring";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Verstoring";"invasieve exoten";"B: < 10 %";"1";"zb";"223";"1035";"1035";"bedekking invasieve exoten";"10";"<";"1,00";"bedekking";"%";"Percentage";NA;"NA";"223";"invasieve exoten";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Verstoring";"invasieve exoten";"A: = 0 %";"2";"zb";"224";"1034";"1034";"bedekking invasieve exoten";"0";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"223";"invasieve exoten";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Structuur";"oeverzone ZW-zijde";"B: < 2  maal de hoogte van de bomen";"1";"b";"219";"2068";"2068";"bomen tot op de oever";"0";"=";"1,00";"meting";NA;"Ja/nee";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Structuur";"oeverzone ZW-zijde";"A: >= 2 maal de hoogte van de bomen";"2";"b";"220";"2483";"2483";"oeverzone > 2 x hoogte bomen";"1";"=";"1,00";"meting";NA;"Ja/nee";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Structuur";"verticale structuur";"B: aandeel isoëtiden > aandeel overige groeivormen";"1";"zb";"227";"72";"72";"aandeel isoëtiden > overige groeivormen";"1";"=";"1,00";"meting";NA;"Ja/nee";NA;"NA";"239";"isoetiden";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Structuur";"verticale structuur";"A: aandeel isoëtiden > aandeel overige groeivormen";"2";"zb";"228";"73";"73";"aandeel isoëtiden > overige groeivormen";"1";"=";"1,00";"meting";NA;"Ja/nee";NA;"NA";"239";"isoetiden";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Verstoring";"vergrassing";"A: < 10 %";"2";"zb";"229";"1716";"1716";"bedekking vergrassing";"10";"<";"1,00";"bedekking";"%";"Percentage";NA;"NA";"516";"vergrassing";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Verstoring";"vergrassing";"B: 10-30 %";"1";"zb";"230";"1715";"1715";"bedekking vergrassing";"30";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"516";"vergrassing";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Verstoring";"verzuring";"A: < 10 %";"2";"zb";"221";"2045";"2045";"bedekking verzuring";"10";"<";"1,00";"bedekking";"%";"Percentage";NA;"NA";"648";"verzuring";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"3110";"3110";"Verstoring";"verzuring";"B: 10-30 %";"1";"zb";"222";"2043";"2043";"bedekking verzuring";"30";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"648";"verzuring";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"3110";"3110";"Verstoring";"eutrofiëring";"<= 10%";"1";"zb";"1214";"809";"809";"bedekking eutrofiëring";"10";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"140";"eutrofiÃ«ring";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"3110";"3110";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";"1";"zb";"1207";"2316";"2316";"grootste vegetatievlek in m²";"10";">";"30,00";"meting_opp_m2";"m²";"Decimaal getal";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"3110";"3110";"Verstoring";"verzuring";"<= 30%";"1";"zb";"1211";"2044";"2044";"bedekking verzuring";"30";"<=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"648";"verzuring";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
